Deferred revenues . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",731 ,381 ,"","1,112 ","1,108"
Long-term liabilities:,"","","","","",""
Due within one year . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","3,391 ",955 ,"","4,346 ","6,146"
Due in more than one year:,"","","","","",""
Tax refunds payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",823 ,—00000 ,"",823 ,—00000
Accrued liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","4,867 ",696 ,"","5,563 ",403
Payable to local governments . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",375 ,—00000 ,"",375 ,—00000
Lottery prizes payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",—00000 ,"1,265 ","","1,265 ",—00000
Pension contributions payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",332 ,—00000 ,"",332 ,96
Other postemployment benefits . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","6,068 ","1,932 ","","8,000 ","4,684"
Pollution remediation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",468 ,—00000 ,"",468 ,137
Obligations under lease/purchase and other ,"","","","","",""
financing arrangements . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","40,092 ","8,927 ","","49,019 ",—00000
Deferred loss on refunding . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",(840) ,—00000 ,"",(840) ,—00000
Notes payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",—00000 ,—00000 ,"",—00000 ,"1,242"
Bonds payable . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","3,093 ",—00000 ,"","3,093 ","75,277"
Other long-term liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",—00000 ,—00000 ,"",—00000 ,"9,563"
Total liabilities . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","84,017 ","19,145 ","","103,162 ","116,895"
NET ASSETS:,"","","","","",""
"Invested in capital assets, net of related debt . . . . . . . . . . . . . . . . . . . . . . ","","63,797 ",468 ,"","64,265 ","24,792"
Restricted for:,"","","","","",""
Debt service . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","2,277 ",—00000 ,"","2,277 ","3,722"
Other specified purposes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"",387 ,"1,100 ","","1,487 ","8,969"
Unrestricted (deficit) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","(38,485) ","(1,452) ","","(39,937) ",286
Total net assets . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,"","$ 27,976 ",$ 116 ,$ ,"28,092 ","$ 37,769"
